Index: 8, Text: nope
Index: 9, Text: que muera
Index: 27, Text: im sad miss lilly
Index: 34, Text: cry asian eyes sleep night
Index: 62, Text: life cool
Index: 125, Text: big fan camilla belle
Index: 180, Text: danny im upset wasnt watch live chat car hours trip im soooo upset
Index: 258, Text: fucked go back ic
Index: 274, Text: oooooooo im neither thats need study
Index: 283, Text: work fan upset
Index: 309, Text: chiefdelphi
Index: 370, Text: lmao im sorry poohpot ate
Index: 408, Text: omg economics test dont know things know omg im gonna fail
Index: 452, Text: throat raw
Index: 459, Text: omg jst teusday
Index: 469, Text: heading altrincham hours install
Index: 470, Text: morning good im bloody knackered work today helppp xxx
Index: 490, Text: atekinzz world
Index: 495, Text: geez ur fun
Index: 553, Text: dead yu gettin wen im leavin
Index: 565, Text: im soooo cold right
Index: 594, Text: im mood chocolate want miniature reeses cups
Index: 637, Text: gone
Index: 663, Text: im sooo sad right need hug
Index: 668, Text: dont want believe im reading buu sad
Index: 671, Text: true use
Index: 709, Text: yup
Index: 749, Text: miss em
Index: 750, Text: cool tweet apps razr
Index: 841, Text: sad
Index: 859, Text: lt codez mia tho
Index: 869, Text: good morning everybody pkoi fais pas beau bon coffee time
Index: 904, Text: c mon sean man
Index: 928, Text: twitter hates us
Index: 936, Text: cry
Index: 1006, Text: im feeling well mommy
Index: 1058, Text: wanna go lamb god
Index: 1081, Text: im ok guess hard day
Index: 1144, Text: por favor decime ke estas involucrado en esa pagina nicatrolls cancer killing b
Index: 1151, Text: derrick
Index: 1156, Text: twitter tooo
Index: 1159, Text: heart broken
Index: 1162, Text: im sorry failed
Index: 1236, Text: saw im sorry
Index: 1285, Text: sad cos u r sad
Index: 1317, Text: aw suuuucks sorry dear
Index: 1342, Text: chi u nay h p chu n b ch c ki n tr ng bao nhi u vi c
Index: 1348, Text: u write back twitter miss ya garee x
Index: 1395, Text: newing twitter
Index: 1409, Text: damn
Index: 1520, Text: twitter woke
Index: 1557, Text: cant sleep ugghhh
Index: 1564, Text: im yellinq mummyy lol angry mee
Index: 1618, Text: know im spring break
Index: 1635, Text: twitter
Index: 1688, Text: fan sleeping alone baby boo
Index: 1702, Text: im morning person never prefer night
Index: 1721, Text: fever
Index: 1761, Text: ya
Index: 1780, Text: hours sleep cant go back sleeping im thirsty
Index: 1793, Text: would knew ed si que se duerme temprano
Index: 1800, Text: brahbrah ugh bed hour
Index: 1806, Text: ahh ai dreptate pixar
Index: 1815, Text: wow x dead
Index: 1831, Text: im aim rn
Index: 1857, Text: missing boyfriend im phone tweet
Index: 1862, Text: sweet
Index: 1904, Text: im confused sucks
Index: 1909, Text: le gusta house house min intro
Index: 1927, Text: im insomniac week
Index: 1936, Text: im jealous want salsa cookies amazing
Index: 1950, Text: sprained glad im holidays
Index: 1963, Text: sad
Index: 2005, Text: cold buee
Index: 2015, Text: way go school today im way sick
Index: 2125, Text: sleep dunno
Index: 2129, Text: man internet slow atm
Index: 2193, Text: naar haddow racket mee wahey
Index: 2204, Text: loveeee lt hurts
Index: 2225, Text: beeeaaach
Index: 2232, Text: im hungryyyy need sushi
Index: 2254, Text: gnite twitter world long day tomorrow night class till pm
Index: 2268, Text: lucky wish
Index: 2272, Text: shutting twitter
Index: 2280, Text: jeles argh sy pn mau jln sm kau jg sadddddddddddddish
Index: 2314, Text: achilles heel spending x dvd hmv
Index: 2319, Text: woke
Index: 2333, Text: oh man see vid ot available country
Index: 2360, Text: mac
Index: 2379, Text: havent update bin stuck gf week im bk class learnin
Index: 2388, Text: solen var inge varm
Index: 2414, Text: ugh hate haviinq dis sleepiinq problemsz
Index: 2473, Text: em
Index: 2479, Text: wants use directional dance pad pero di compatible sa tv yung game
Index: 2538, Text: hermes packetdienst sucks
Index: 2575, Text: thank feel sad hope give nice life til end
Index: 2678, Text: dont like internet dont tweet much
Index: 2870, Text: forgot shitty co op ugh
Index: 2960, Text: wish come true go hell carolina
Index: 2967, Text: ternyata hanya gue yang make twitter
Index: 2973, Text: hatez
Index: 2983, Text: sad
Index: 2989, Text: sad
Index: 3009, Text: innocent
Index: 3017, Text: man im fucked work
Index: 3023, Text: whitout friends
Index: 3069, Text: twitter loner
Index: 3119, Text: miss long come back
Index: 3160, Text: ur bad
Index: 3222, Text: cry
Index: 3223, Text: im still awake lol cant sleep glad tho
Index: 3257, Text: im guys lloll
Index: 3292, Text: tierd whats pt swagger mean love sound
Index: 3326, Text: v b kh gi ng qu
Index: 3328, Text: awww gemma hope
Index: 3342, Text: im slept hour last night death
Index: 3409, Text: im workkkk im freezing need mass hug call u night babe xxx
Index: 3425, Text: ouch
Index: 3441, Text: dont know im uk yet jealous
Index: 3499, Text: leeds festival twitter man lied update
Index: 3507, Text: immm sooooo lowwww
Index: 3515, Text: geen met mother vandaag
Index: 3526, Text: ha ha ha cap doffed okay right camping cotwolds
Index: 3537, Text: ouch
Index: 3599, Text: lol anna schmance soo wanna meet holidays man haha im missing bad
Index: 3635, Text: moving managerial finance nicht gut
Index: 3644, Text: work plus im sick blah
Index: 3659, Text: free day
Index: 3688, Text: em ng h ng gt h tr n c n xong ng ti p n n b gi
Index: 3831, Text: im miley nite sleeping boo
Index: 3846, Text: crappy day far whyyyyy
Index: 3896, Text: moulin rouge mad cry
Index: 3933, Text: migraines fun wanna cry
Index: 3934, Text: lo siento one tonight consolation
Index: 3962, Text: quite see em barclaycard
Index: 3994, Text: afi reading til sunday sucks
Index: 4043, Text: use twitter phone
Index: 4065, Text: ako sa lahko lacno dostat ku knihe normana fairclougha analysing discourse
Index: 4073, Text: im sick home alone
Index: 4097, Text: innocent innocent
Index: 4099, Text: late today mn pa ako mkakalabas ng office
Index: 4100, Text: dont
Index: 4108, Text: aww break heart
Index: 4187, Text: right nipple sore
Index: 4203, Text: grandad know mam stop crying occupy mind poor gran goodbye
Index: 4217, Text: oh god
Index: 4255, Text: tweeted forever
Index: 4264, Text: im still waiting phone x
Index: 4268, Text: link
Index: 4320, Text: dunno fern
Index: 4379, Text: riches sin
Index: 4382, Text: easy peasy better ubuntu eee
Index: 4394, Text: eww snow
Index: 4414, Text: im worthless
Index: 4421, Text: face
Index: 4424, Text: waking im tired
Index: 4463, Text: work yay im tired
Index: 4499, Text: awwww
Index: 4556, Text: says ang tagal naman ng may
Index: 4596, Text: dont wanna look like clown lol dont yellow
Index: 4605, Text: lost nintendo ds
Index: 4645, Text: ok im bed
Index: 4658, Text: im awake finally dont wanna b tho xx
Index: 4688, Text: omg raining
Index: 4708, Text: neglected twitter late sorry twitter snifs
Index: 4745, Text: god blizzard
Index: 4763, Text: nawww love dont like
Index: 4775, Text: ur right wish nyc los angeles las vegas awww lt
Index: 4781, Text: min nap desk din help
Index: 4790, Text: ul man
Index: 4800, Text: evil prawn salad
Index: 4812, Text: way cold morning dont wanna get bed
Index: 4853, Text: dunno
Index: 4879, Text: awwwwww wow girl
Index: 4900, Text: bk
Index: 4905, Text: ahh wait im
Index: 4943, Text: ok op weeks biopsy
Index: 4950, Text: sad
Index: 4982, Text: duunw use thing
Index: 4987, Text: easy fly bos slc
Index: 5041, Text: time work im tired
Index: 5055, Text: em ang l g nh sao ko th tr l nh
Index: 5097, Text: ufff offline moldavian friends
Index: 5128, Text: c g ng l ng
Index: 5157, Text: espero que estejas bem need anything lady kiss
Index: 5195, Text: going starbucks school first period french zut je n pas fait mes devoirs francais
Index: 5246, Text: sickk feel like dying im gonna cause loveyou
Index: 5250, Text: erf listen work
Index: 5251, Text: come flashlight
Index: 5252, Text: love im work
Index: 5320, Text: eggies sister parents im sure im gonna get back
Index: 5353, Text: im sore days
Index: 5376, Text: com mtoooo friooooo
Index: 5399, Text: chantelllll im gonna cry
Index: 5434, Text: ow
Index: 5436, Text: beuh mon twitter gadget bug
Index: 5478, Text: im wearing black socks haha pretty random im bored tired nigel
Index: 5479, Text: audio coolcat awwwwwwwwwww poor baby sick im sorry mi amor okay
Index: 5489, Text: ew snow anywho im getting ready go co op brandon today sick im coming home today send love lt
Index: 5552, Text: rain pleaaaaseeee
Index: 5581, Text: hour passed n im still digital img thing nightah
Index: 5613, Text: work til quick dinner class til haaate tuesdays
Index: 5647, Text: day set drag ideal shift
Index: 5654, Text: sore throat
Index: 5683, Text: im sooo friggin borreeeed
Index: 5718, Text: ass cold
Index: 5729, Text: booooooo snow
Index: 5732, Text: precious minutes one til tomorrow
Index: 5742, Text: yay bitch flaky
Index: 5749, Text: ugh im tired dont feel like goin scool
Index: 5756, Text: shock de ce se intimpla chishinau shi nu dus sa sarbatoresc ziua internatzionala sanatatzii
Index: 5803, Text: yea thats im doin hurtsss hows weston
Index: 5842, Text: woke milo seizure
Index: 5875, Text: come
Index: 5922, Text: chilly wake call boot bummer
Index: 5942, Text: im miss dad
Index: 5975, Text: im going lose followers one tweet lol
Index: 6042, Text: lame big bummer
Index: 6059, Text: awe girl im sorry hope feel better
Index: 6073, Text: awwww mann need followers im loser
Index: 6075, Text: last trig test til finals
Index: 6094, Text: gmail oooooooooooohhhhhhhhh
Index: 6125, Text: wait til online aw man
Index: 6127, Text: jus wolf still layin bed lol im missio allot
Index: 6157, Text: twitter wound
Index: 6171, Text: fuuuck heaaaad
Index: 6172, Text: bitchy breaking heart flad
Index: 6201, Text: sabrina im bored
Index: 6235, Text: wish mesh
Index: 6268, Text: omg hear ya horrid
Index: 6282, Text: still depressed dr kutner house whyyyyyyyyyyyyyyy
Index: 6298, Text: wow right
Index: 6312, Text: sore throat today
Index: 6347, Text: tastes bad
Index: 6351, Text: haha already im bad student
Index: 6374, Text: noooooooooooooo
Index: 6382, Text: er hav done
Index: 6453, Text: sorry hear um unsore shit soon stuff
Index: 6457, Text: good luck meghan tests suuuck
Index: 6464, Text: knooow tsk im feeling urge move huhu
Index: 6470, Text: wheres im poor uni student
Index: 6477, Text: says na ang dead sa italy
Index: 6492, Text: hi
Index: 6531, Text: bebo sore tummy
Index: 6540, Text: sore hand
Index: 6591, Text: twitter avatar loading
Index: 6623, Text: nyt us news rss work google reader
Index: 6667, Text: im pain knee
Index: 6710, Text: god
Index: 6723, Text: nope
Index: 6727, Text: omfg im friggin bored cant jus something
Index: 6731, Text: way id spell wensday unfortunatly im roman emperor viking god say matter
Index: 6754, Text: phone rang
Index: 6758, Text: se cerr
Index: 6840, Text: says napaka hostile tuloy ng environment dito sa office ngayon
Index: 6916, Text: th hjc tr c ng ch r c n l
Index: 6921, Text: rocking swollen eyes sexy haha
Index: 6991, Text: oh god
Index: 6999, Text: im soo bored
Index: 7008, Text: guuuuuuyyyyyyyssssss dont wanna frankie
Index: 7009, Text: hellohhhh mariahdaily
Index: 7152, Text: ocram twittea la sentencia estoy en clases
Index: 7154, Text: ay nag online sandali dahil atat sa grades unfortunately di pa rin complete ang grades ko sa crs
Index: 7161, Text: lost follower ughh im
Index: 7166, Text: boored im home minutes
Index: 7182, Text: nope fan carrot cake sorry
Index: 7187, Text: haixt bad day
Index: 7198, Text: none friends twitter
Index: 7202, Text: lamb
Index: 7207, Text: sad true
Index: 7278, Text: working til pm class til pm hopefully wing night miss isag guys already
Index: 7284, Text: either homework class til
Index: 7309, Text: love marchio
Index: 7319, Text: hated stan hard em
Index: 7400, Text: gonna long agonizing tuesday
Index: 7410, Text: classes til work til tomorrow long day
Index: 7459, Text: amen
Index: 7504, Text: great start holidays im ill
Index: 7507, Text: mam need sleep stuck class wish bed
Index: 7518, Text: torn bold amp
Index: 7529, Text: sigh true
Index: 7536, Text: work till project
Index: 7561, Text: fourth day holidays im sooo bored
Index: 7580, Text: hubo big bang theory otra vez hasta el
Index: 7654, Text: come man jinx pirates
Index: 7666, Text: blog mysql
Index: 7669, Text: get twitter work last night
Index: 7674, Text: think im gettin cold
Index: 7685, Text: tiiiired cruel girl
Index: 7697, Text: robert englund
Index: 7722, Text: need friends twitter
